FIA.Code,Common.Name,Genus,Species
12,balsam fir,Abies,balsamea
315,striped maple,Acer,pensylvanicum
316,red maple,Acer,rubrum
318,sugar maple,Acer,saccharum
371,yellow birch,Betula,alleghaniensis
372,sweet birch,Betula,lenta
375,paper birch,Betula,papyrifera
531,American beech,Fagus,grandifolia
541,white ash,Fraxinus,americana
543,black ash,Fraxinus,nigra
97,red spruce,Picea,rubens
129,eastern white pine,Pinus,strobus
746,quaking aspen,Populus,tremuloides
761,pin cherry,Prunus,pensylvanica
762,black cherry,Prunus,serotina
833,northern red oak,Quercus,rubra
241,northern white-cedar,Thuja,occidentalis
951,American basswood,Tilia,americana
261,eastern hemlock,Tsuga,canadensis
