"TextClass","elevbin","soilindex2","fieldcap","wiltpoint","WHC","slopegradw","brockdepmi","ksat","sand","silt","clay","maxdepth","elev"
"Sand",1,"0",9.5643288442504,4.92336776207086,4.64096108217953,15.3550831490493,0,103.896397102963,88.0807130526244,9.26671993575859,2.652567011617,99.0632105346388,285.554749084387
"Loam",1,"1",23.8169780676666,9.79985796757845,14.0171201000882,14.6213355372732,22.7241329067386,9.63554485033529,43.3512106683514,44.4131359951617,12.2356533364869,84.3887032628648,287.448854774411
"Sand",2,"11",9.2654181180796,4.58173717834833,4.68368093973127,16.7999466070711,0,104.541200085306,87.9234759874004,9.7431373490162,2.33338666358337,99.5383948044784,452.111005959439
"Sand",3,"12",18.9731893029574,6.97188879318342,12.0013005097739,10.2722512339938,NA,62.5849329035595,68.0716876967082,16.7696070799264,15.1587052233654,100,502.437632398877
"SandyClayLoam",1,"12",18.9731893029574,6.97188879318342,12.0013005097739,10.2722512339938,NA,62.5849329035595,68.0716876967082,16.7696070799264,15.1587052233654,100,502.437632398877
NA,NA,"13",9.191680017,4.395000024,4.796679993,11.7,NA,114.7129167,87.8596,9.5916,2.5488,100,NA
"SandyClayLoam",2,"15",28.08399982,8.633333524,19.450666296,2,NA,15.52400045,45.5978269096024,24.7826083800804,29.6195647103172,100,375.0714286
"SandyLoam",1,"16",17.126274501733,8.75183386021031,8.37444064152271,17.7483751465626,53.8271519750129,20.5787151825996,60.4261600475886,33.9021518305454,5.67168812186597,87.5033920977032,286.88695051302
"SandyLoam",2,"17",18.1745601255027,9.14916482805893,9.02539529744374,17.0679715985162,49.2513105647743,12.3831914778898,54.9808754077483,39.5595830222659,5.45954156998575,86.3868369432293,450.460681314939
"SiltLoam",1,"17",18.1745601255027,9.14916482805893,9.02539529744374,17.0679715985162,49.2513105647743,12.3831914778898,54.9808754077483,39.5595830222659,5.45954156998575,86.3868369432293,450.460681314939
"SandyLoam",3,"18",19.0129154158374,10.7371186662178,8.27579674961965,23.8275993062673,53.110646813413,12.3619363340237,65.0532335761615,29.1715161476286,5.77525027620995,82.2045438470184,751.984052860751
NA,NA,"19",17.4804150841673,7.17698944789529,10.303425636272,5.09030217849613,NA,4.46884323157133,58.556411128625,34.4817826449238,6.96180622645121,99.914659170766,NA
"Loam",2,"2",20.2681721549469,9.32451528437554,10.9436568705714,21.9565215809245,36.2236710818537,12.4426370482271,41.4407730664358,45.0913090897491,13.4679178438152,73.5643137326998,488.134774111752
"SiltLoam",2,"21",19.6465009695854,10.2548237133938,9.39167725619155,12.8663725765182,32.7441480220265,7.21373079760782,38.4815194140643,52.2608306964334,9.25764988950231,93.5575104628493,453.723114130994
"SiltLoam",3,"22",19.1130966131453,10.8455817823849,8.26751483076042,17.7741523623394,32.7017725561766,8.28491400103175,36.745279431723,51.5528907095385,11.7018298587385,84.5955274951392,726.907490304667
"SiltyClayLoam",1,"23",33.2980489989958,12.9823143260465,20.3157346729493,5.6533616901065,NA,4.2531247977863,17.1618315405928,52.8667958329509,29.9713726264563,99.9973607462717,335.701222225486
"SiltyClayLoam",2,"23",33.2980489989958,12.9823143260465,20.3157346729493,5.6533616901065,NA,4.2531247977863,17.1618315405928,52.8667958329509,29.9713726264563,99.9973607462717,335.701222225486
"SiltyClayLoam",3,"25",32.2301562124196,12.1494027873145,20.0807534251051,10.5292843072882,NA,4.35260602046947,18.8846469403033,52.6074450448159,28.5079080148808,100,742.388637835785
"Loam",3,"3",20.0104094107745,9.67507287711833,10.3353365336561,17.9525901431884,40.3373479002861,11.2609568464757,43.1153605165037,45.2751942392284,11.6094452442679,85.0135294390083,725.047119394677
"LoamySand",1,"5",9.96507837466267,5.1560828706054,4.80899550405727,10.0712429092783,NA,130.343553668525,80.4158596843022,16.0876540265527,3.49648628914506,100,271.883868943924
"LoamySand",2,"6",10.2929856053816,5.48976230550719,4.80322329987441,11.0248657130245,NA,142.975787452949,81.1456373809771,15.6451569192114,3.2092056998115,100,450.597732616269
"LoamySand",3,"7",10.924169075845,5.06911907383641,5.8550500020086,5.53692008605929,NA,197.870081628515,81.1459426942343,15.1729431660835,3.68111413968217,100,704.776392690333
