"","stand","num_plots","num_ash_plots","prop_ash","mgmtarea","area_ha"
"108",30164408,135,42,0.311111111111111,3,12.15
"140",30164866,136,36,0.264705882352941,3,12.24
"154",40164408,112,42,0.375,4,10.08
"201",30168072,93,29,0.311827956989247,3,8.37
"203",30165196,66,19,0.287878787878788,3,5.94
"470",30168076,160,50,0.3125,3,14.4
"581",30214150,46,14,0.304347826086957,3,4.14
"688",40009664,172,56,0.325581395348837,4,15.48
"740",30165122,132,47,0.356060606060606,3,11.88
"750",40006808,96,40,0.416666666666667,4,8.64
"904",30164824,127,39,0.307086614173228,3,11.43
"925",30165200,54,15,0.277777777777778,3,4.86
"1073",30165036,47,15,0.319148936170213,3,4.23
"1508",40009092,178,48,0.269662921348315,4,16.02
"1561",40003100,94,30,0.319148936170213,4,8.46
"1784",40007316,64,19,0.296875,4,5.76
"1922",40001080,172,57,0.331395348837209,4,15.48
"2392",40006536,169,47,0.27810650887574,4,15.21
"2525",40007452,48,12,0.25,4,4.32
"2637",40005184,139,40,0.287769784172662,4,12.51
