"Statistic","unharvested","regeneration","removal","NH","RNH"
"CWD_vol_mean","31.9695401638855","67.9016588066192","86.1220958366967","65.7544035396817","40.9192735713617"
"CWD_vol_SE","4.33769563666916","18.5899591604605","9.71257867888104","8.05164493111651","7.1051141906116"
"CWD_biomass_mean","9.17412619632212","21.3835105079872","32.4383228332307","23.0691614354381","13.4677819774169"
"CWD_biomass_SE","1.36768480458671","5.46512097107346","3.89425864692755","3.25201208915461","2.57845612067708"
"snag_BA_mean","11.9083881305084","21.8488197017054","14.2046791472285","16.5229918438318","7.64685530832593"
"snag_BA_SE","1.57997357062676","7.1687420160882","3.61682147082733","2.44231592122192","1.23483530003892"
"snag_vol_mean","68.0912415704515","112.394774893197","80.1377932843921","93.9641022087695","39.8083798610226"
"snag_vol_SE","11.1955232612995","41.3945200063755","27.9536574151023","18.505722850912","5.68340954097719"
"snag_biomass_mean","26.0607304040217","45.9190515337482","31.6645732621369","36.9083297404322","15.3200675036196"
"snag_biomass_SE","4.38298072894904","20.1397292222043","10.8125182031099","7.33089877807912","1.90006123236551"
"TPH_mean","588.352272727273","317.261904761905","285.260025062657","392.319508448541","533.630952380952"
"TPH_SE","27.401854867635","80.6355406722193","21.5569612905079","35.0348964551703","36.951535259714"
"QMD_mean","27.8075364911562","30.8153312978776","28.6786762438127","29.1940858426198","26.7789511077266"
"QMD_SE","0.799858190999218","3.5269571746463","0.550587356644852","0.657750002730956","0.819977142909742"
"all_live_BA_mean","34.7511848106133","20.5212126831031","18.0709566562557","24.9821763079175","29.6794019635228"
"all_live_BA_SE","1.16163499082033","1.18992110921808","1.15109376300458","1.84589288820505","1.96471209860134"
"ash_live_BA_mean","13.3152010855178","6.4126955943282","3.76325738309092","8.16273946069825","9.78872666112757"
"ash_live_BA_SE","1.00778225479663","0.955314844039212","0.610527724014786","1.16549656995162","1.22114287597194"
"ash_cut_BA_mean","0.00607241377123119","3.54760346011367","8.37505255612849","4.34486057535507","2.76852340527542"
"ash_cut_BA_SE","0.0060724137712312","0.642574276163398","1.14032109481773","0.975461292155941","1.18433112504761"
"ash_cut_prop_mean","0.000663077757013905","0.359921497967236","0.652711773451417","0.351624712703672","0.211102236020453"
"ash_cut_prop_SE","0.000663077757013905","0.046588197059036","0.054825806540625","0.0671019944930036","0.0749664219505757"
